"year","month","age_group","cases"
2017,"Jan","30 a 59",0
2017,"Jan","0 a 11",0
2017,"Jan","60 e mais",0
2017,"Jan","12 a 17",0
2017,"Jan","18 a 29",0
2018,"Jan","30 a 59",0
2018,"Jan","0 a 11",0
2018,"Jan","60 e mais",0
2018,"Jan","12 a 17",0
2018,"Jan","18 a 29",0
2019,"Jan","30 a 59",1
2019,"Jan","0 a 11",0
2019,"Jan","60 e mais",0
2019,"Jan","12 a 17",0
2019,"Jan","18 a 29",0
2020,"Jan","30 a 59",3
2020,"Jan","0 a 11",3
2020,"Jan","60 e mais",0
2020,"Jan","12 a 17",4
2020,"Jan","18 a 29",5
2021,"Jan","30 a 59",6
2021,"Jan","0 a 11",3
2021,"Jan","60 e mais",0
2021,"Jan","12 a 17",5
2021,"Jan","18 a 29",6
2022,"Jan","30 a 59",0
2022,"Jan","0 a 11",0
2022,"Jan","60 e mais",0
2022,"Jan","12 a 17",0
2022,"Jan","18 a 29",0
2017,"Fev","30 a 59",0
2017,"Fev","0 a 11",0
2017,"Fev","60 e mais",0
2017,"Fev","12 a 17",0
2017,"Fev","18 a 29",0
2018,"Fev","30 a 59",0
2018,"Fev","0 a 11",1
2018,"Fev","60 e mais",0
2018,"Fev","12 a 17",0
2018,"Fev","18 a 29",0
2019,"Fev","30 a 59",2
2019,"Fev","0 a 11",0
2019,"Fev","60 e mais",0
2019,"Fev","12 a 17",0
2019,"Fev","18 a 29",0
2020,"Fev","30 a 59",2
2020,"Fev","0 a 11",1
2020,"Fev","60 e mais",0
2020,"Fev","12 a 17",1
2020,"Fev","18 a 29",1
2021,"Fev","30 a 59",0
2021,"Fev","0 a 11",0
2021,"Fev","60 e mais",0
2021,"Fev","12 a 17",0
2021,"Fev","18 a 29",0
2022,"Fev","30 a 59",13
2022,"Fev","0 a 11",20
2022,"Fev","60 e mais",0
2022,"Fev","12 a 17",0
2022,"Fev","18 a 29",8
2017,"Mar","30 a 59",0
2017,"Mar","0 a 11",0
2017,"Mar","60 e mais",0
2017,"Mar","12 a 17",0
2017,"Mar","18 a 29",0
2018,"Mar","30 a 59",0
2018,"Mar","0 a 11",0
2018,"Mar","60 e mais",0
2018,"Mar","12 a 17",0
2018,"Mar","18 a 29",0
2019,"Mar","30 a 59",0
2019,"Mar","0 a 11",0
2019,"Mar","60 e mais",0
2019,"Mar","12 a 17",0
2019,"Mar","18 a 29",0
2020,"Mar","30 a 59",1
2020,"Mar","0 a 11",0
2020,"Mar","60 e mais",0
2020,"Mar","12 a 17",0
2020,"Mar","18 a 29",0
2021,"Mar","30 a 59",0
2021,"Mar","0 a 11",0
2021,"Mar","60 e mais",0
2021,"Mar","12 a 17",0
2021,"Mar","18 a 29",0
2022,"Mar","30 a 59",4
2022,"Mar","0 a 11",25
2022,"Mar","60 e mais",10
2022,"Mar","12 a 17",2
2022,"Mar","18 a 29",4
2017,"Abr","30 a 59",0
2017,"Abr","0 a 11",0
2017,"Abr","60 e mais",0
2017,"Abr","12 a 17",2
2017,"Abr","18 a 29",0
2018,"Abr","30 a 59",0
2018,"Abr","0 a 11",0
2018,"Abr","60 e mais",0
2018,"Abr","12 a 17",0
2018,"Abr","18 a 29",0
2019,"Abr","30 a 59",0
2019,"Abr","0 a 11",0
2019,"Abr","60 e mais",0
2019,"Abr","12 a 17",0
2019,"Abr","18 a 29",0
2020,"Abr","30 a 59",0
2020,"Abr","0 a 11",0
2020,"Abr","60 e mais",0
2020,"Abr","12 a 17",0
2020,"Abr","18 a 29",1
2021,"Abr","30 a 59",0
2021,"Abr","0 a 11",0
2021,"Abr","60 e mais",0
2021,"Abr","12 a 17",0
2021,"Abr","18 a 29",0
2022,"Abr","30 a 59",4
2022,"Abr","0 a 11",1
2022,"Abr","60 e mais",0
2022,"Abr","12 a 17",1
2022,"Abr","18 a 29",2
2017,"Mai","30 a 59",2
2017,"Mai","0 a 11",0
2017,"Mai","60 e mais",0
2017,"Mai","12 a 17",0
2017,"Mai","18 a 29",0
2018,"Mai","30 a 59",0
2018,"Mai","0 a 11",0
2018,"Mai","60 e mais",0
2018,"Mai","12 a 17",0
2018,"Mai","18 a 29",0
2019,"Mai","30 a 59",0
2019,"Mai","0 a 11",0
2019,"Mai","60 e mais",0
2019,"Mai","12 a 17",0
2019,"Mai","18 a 29",0
2020,"Mai","30 a 59",0
2020,"Mai","0 a 11",0
2020,"Mai","60 e mais",0
2020,"Mai","12 a 17",0
2020,"Mai","18 a 29",0
2021,"Mai","30 a 59",0
2021,"Mai","0 a 11",0
2021,"Mai","60 e mais",0
2021,"Mai","12 a 17",0
2021,"Mai","18 a 29",0
2022,"Mai","30 a 59",2
2022,"Mai","0 a 11",2
2022,"Mai","60 e mais",0
2022,"Mai","12 a 17",1
2022,"Mai","18 a 29",0
2017,"Jun","30 a 59",0
2017,"Jun","0 a 11",0
2017,"Jun","60 e mais",0
2017,"Jun","12 a 17",0
2017,"Jun","18 a 29",0
2018,"Jun","30 a 59",0
2018,"Jun","0 a 11",0
2018,"Jun","60 e mais",0
2018,"Jun","12 a 17",0
2018,"Jun","18 a 29",0
2019,"Jun","30 a 59",0
2019,"Jun","0 a 11",0
2019,"Jun","60 e mais",0
2019,"Jun","12 a 17",0
2019,"Jun","18 a 29",0
2020,"Jun","30 a 59",0
2020,"Jun","0 a 11",0
2020,"Jun","60 e mais",0
2020,"Jun","12 a 17",0
2020,"Jun","18 a 29",0
2021,"Jun","30 a 59",0
2021,"Jun","0 a 11",0
2021,"Jun","60 e mais",0
2021,"Jun","12 a 17",0
2021,"Jun","18 a 29",0
2022,"Jun","30 a 59",0
2022,"Jun","0 a 11",4
2022,"Jun","60 e mais",0
2022,"Jun","12 a 17",4
2022,"Jun","18 a 29",1
2017,"Jul","30 a 59",0
2017,"Jul","0 a 11",0
2017,"Jul","60 e mais",0
2017,"Jul","12 a 17",0
2017,"Jul","18 a 29",0
2018,"Jul","30 a 59",0
2018,"Jul","0 a 11",0
2018,"Jul","60 e mais",0
2018,"Jul","12 a 17",0
2018,"Jul","18 a 29",0
2019,"Jul","30 a 59",0
2019,"Jul","0 a 11",0
2019,"Jul","60 e mais",0
2019,"Jul","12 a 17",0
2019,"Jul","18 a 29",0
2020,"Jul","30 a 59",0
2020,"Jul","0 a 11",0
2020,"Jul","60 e mais",0
2020,"Jul","12 a 17",0
2020,"Jul","18 a 29",0
2021,"Jul","30 a 59",0
2021,"Jul","0 a 11",0
2021,"Jul","60 e mais",0
2021,"Jul","12 a 17",0
2021,"Jul","18 a 29",0
2022,"Jul","30 a 59",0
2022,"Jul","0 a 11",0
2022,"Jul","60 e mais",0
2022,"Jul","12 a 17",0
2022,"Jul","18 a 29",0
2017,"Ago","30 a 59",0
2017,"Ago","0 a 11",0
2017,"Ago","60 e mais",0
2017,"Ago","12 a 17",0
2017,"Ago","18 a 29",0
2018,"Ago","30 a 59",0
2018,"Ago","0 a 11",0
2018,"Ago","60 e mais",0
2018,"Ago","12 a 17",0
2018,"Ago","18 a 29",0
2019,"Ago","30 a 59",0
2019,"Ago","0 a 11",0
2019,"Ago","60 e mais",0
2019,"Ago","12 a 17",0
2019,"Ago","18 a 29",0
2020,"Ago","30 a 59",0
2020,"Ago","0 a 11",0
2020,"Ago","60 e mais",0
2020,"Ago","12 a 17",0
2020,"Ago","18 a 29",0
2021,"Ago","30 a 59",0
2021,"Ago","0 a 11",0
2021,"Ago","60 e mais",0
2021,"Ago","12 a 17",0
2021,"Ago","18 a 29",0
2022,"Ago","30 a 59",0
2022,"Ago","0 a 11",0
2022,"Ago","60 e mais",0
2022,"Ago","12 a 17",0
2022,"Ago","18 a 29",0
2017,"Set","30 a 59",0
2017,"Set","0 a 11",0
2017,"Set","60 e mais",0
2017,"Set","12 a 17",0
2017,"Set","18 a 29",0
2018,"Set","30 a 59",0
2018,"Set","0 a 11",0
2018,"Set","60 e mais",0
2018,"Set","12 a 17",0
2018,"Set","18 a 29",0
2019,"Set","30 a 59",0
2019,"Set","0 a 11",0
2019,"Set","60 e mais",0
2019,"Set","12 a 17",0
2019,"Set","18 a 29",0
2020,"Set","30 a 59",0
2020,"Set","0 a 11",1
2020,"Set","60 e mais",0
2020,"Set","12 a 17",0
2020,"Set","18 a 29",0
2021,"Set","30 a 59",0
2021,"Set","0 a 11",0
2021,"Set","60 e mais",0
2021,"Set","12 a 17",0
2021,"Set","18 a 29",0
2022,"Set","30 a 59",0
2022,"Set","0 a 11",0
2022,"Set","60 e mais",0
2022,"Set","12 a 17",0
2022,"Set","18 a 29",0
2017,"Out","30 a 59",0
2017,"Out","0 a 11",0
2017,"Out","60 e mais",0
2017,"Out","12 a 17",0
2017,"Out","18 a 29",0
2018,"Out","30 a 59",0
2018,"Out","0 a 11",0
2018,"Out","60 e mais",0
2018,"Out","12 a 17",0
2018,"Out","18 a 29",0
2019,"Out","30 a 59",0
2019,"Out","0 a 11",0
2019,"Out","60 e mais",0
2019,"Out","12 a 17",0
2019,"Out","18 a 29",0
2020,"Out","30 a 59",0
2020,"Out","0 a 11",2
2020,"Out","60 e mais",0
2020,"Out","12 a 17",0
2020,"Out","18 a 29",0
2021,"Out","30 a 59",0
2021,"Out","0 a 11",0
2021,"Out","60 e mais",0
2021,"Out","12 a 17",0
2021,"Out","18 a 29",0
2022,"Out","30 a 59",0
2022,"Out","0 a 11",0
2022,"Out","60 e mais",0
2022,"Out","12 a 17",0
2022,"Out","18 a 29",0
2017,"Nov","30 a 59",0
2017,"Nov","0 a 11",1
2017,"Nov","60 e mais",0
2017,"Nov","12 a 17",1
2017,"Nov","18 a 29",0
2018,"Nov","30 a 59",0
2018,"Nov","0 a 11",0
2018,"Nov","60 e mais",0
2018,"Nov","12 a 17",0
2018,"Nov","18 a 29",0
2019,"Nov","30 a 59",0
2019,"Nov","0 a 11",0
2019,"Nov","60 e mais",0
2019,"Nov","12 a 17",0
2019,"Nov","18 a 29",0
2020,"Nov","30 a 59",0
2020,"Nov","0 a 11",1
2020,"Nov","60 e mais",0
2020,"Nov","12 a 17",0
2020,"Nov","18 a 29",0
2021,"Nov","30 a 59",0
2021,"Nov","0 a 11",0
2021,"Nov","60 e mais",0
2021,"Nov","12 a 17",0
2021,"Nov","18 a 29",0
2022,"Nov","30 a 59",0
2022,"Nov","0 a 11",0
2022,"Nov","60 e mais",0
2022,"Nov","12 a 17",0
2022,"Nov","18 a 29",0
2017,"Dez","30 a 59",0
2017,"Dez","0 a 11",1
2017,"Dez","60 e mais",1
2017,"Dez","12 a 17",0
2017,"Dez","18 a 29",0
2018,"Dez","30 a 59",0
2018,"Dez","0 a 11",0
2018,"Dez","60 e mais",0
2018,"Dez","12 a 17",0
2018,"Dez","18 a 29",0
2019,"Dez","30 a 59",1
2019,"Dez","0 a 11",0
2019,"Dez","60 e mais",0
2019,"Dez","12 a 17",0
2019,"Dez","18 a 29",3
2020,"Dez","30 a 59",0
2020,"Dez","0 a 11",1
2020,"Dez","60 e mais",0
2020,"Dez","12 a 17",0
2020,"Dez","18 a 29",1
2021,"Dez","30 a 59",0
2021,"Dez","0 a 11",0
2021,"Dez","60 e mais",0
2021,"Dez","12 a 17",0
2021,"Dez","18 a 29",0
2022,"Dez","30 a 59",0
2022,"Dez","0 a 11",0
2022,"Dez","60 e mais",0
2022,"Dez","12 a 17",0
2022,"Dez","18 a 29",0
